TWEET_ID_ANON,USER_ID_ANON,TWEET_TEXT,CREATED_AT
1,1,"Eles devem eliminar as pessoas más e aqueles de nós que odeiam viver
... o mundo seria melhor sem nós",Sat Oct 28 16:07:06 +0000 2017
2,1,Pare de tentar contar seus problemas para alguém. Entenda NINGUÉM SE IMPORTA COM VOCÊ!!!!!,Thu Nov 02 06:25:04 +0000 2017
3,1,"A tristeza é o mais fácil de esconder de todos os sentimentos que a depressão traz consigo

#ADepressãoÉMulticolor",Thu Dec 14 02:06:52 +0000 2017
4,1,"Uma das piores coisas da depressão é que ela não te deixa com vontade de viver... Ou de se matar.
Só tem você aqui, morrendo",Sun Jul 16 19:30:11 +0000 2017
5,1,"A solidão é a única constante na minha vida. Acho que nunca saberei AMOR, AMIZADE, FELICIDADE... o que é VIVER
Já me cansei!",Mon Oct 23 02:52:07 +0000 2017
6,1,"Eu quero sumir, mas ao mesmo tempo quero que alguém perceba o inferno que eu vivo",Fri Mar 03 06:13:00 +0000 2017
7,1,"Não mãe, eu não sou preguiçoso
Não, eu não tenho narcolepsia.

...A DEPRESSÃO ESTÁ ME CONSUMINDO",Fri Feb 09 08:10:02 +0000 2018
8,1,"Minha vida não tem sentido.

...Tenho a mesma vontade de deixar este mundo, como quem está numa festa onde… EXTERNAL_LINK",Fri Nov 10 19:58:48 +0000 2017
9,1,"cansei de ser gordo
cansei de ser um fracasso
estou cansado de ser
... já quero ireeeeee!!!",Mon Nov 06 22:34:05 +0000 2017
10,2,Pelos meus cálculos eu já deveria estar morto,Sun Apr 15 00:32:27 +0000 2018
11,2,"Eu odeio me sentir tão desconfortável perto das pessoas, odeio me sentir insegura quando as pessoas olham para mim.",Thu Mar 29 01:19:10 +0000 2018
12,2,Cada dia mais vontade de morrer,Tue May 08 19:51:21 +0000 2018
13,2,"Como é estranho estar neutro, nem triste nem feliz, você só está lá, sem sentir nada",Sat May 05 22:09:07 +0000 2018
14,2,"Sou tão tóxico comigo mesmo que começo a pensar em coisas que me fazem sentir mal ou imagino situações para me fazer sentir mal, não dou mais que um cuzão",Thu Mar 22 01:44:07 +0000 2018
15,2,"Nunca aconteceu com eles começarem a ficar tristes do nada, e você sente um vazio dentro de você que não sabe como preencher e... EXTERNAL_LINK",Tue Mar 20 22:57:37 +0000 2018
16,2,"Preciso de atenção e contenção constantes porque tenho 0 estabilidade mental e emocional, que palha se relacionar comigo",Wed Mar 28 02:30:49 +0000 2018
17,2,"Ultimamente, minha estabilidade emocional está mais instável do que o clima no outono. Adoraria ter um botão que diz… EXTERNAL_LINK",Sun Apr 15 01:36:22 +0000 2018
18,2,"É muito feio quando seus problemas de estresse, ansiedade, depressão se juntam, é como uma bomba prestes a explodir",Wed Apr 25 23:14:16 +0000 2018
